eps,green_threshold,max_radius,max_distance,min_points,matching_score,Split_clusters
1.5,0.025,4.5,2.85,40,0.7714285714285715,True
1.5,0.025,4.0,2.85,50,0.7428571428571429,True
2.0,0.025,4.0,2.85,40,0.8285714285714286,True
2.0,0.025,4.5,2.85,50,0.7714285714285715,True
2.0,0.025,5.0,2.85,50,0.8,True
2.0,0.028,4.0,2.85,40,0.7714285714285715,True
1.8,0.025,4.0,2.85,40,0.8,True
2.0,0.025,3.8,2.85,40,0.8,True
2.0,0.025,4.0,2.85,35,0.8,True
2.0,0.022,4.0,2.85,40,0.7857142857142857,True
1.9,0.025,4.0,2.85,35,0.8,True
1.9,0.025,4.0,2.85,40,0.8142857142857143,True
2.0,0.024,4.0,2.85,35,0.8,True
2.0,0.025,4.0,2.85,25,0.8,True
2.0,0.023,4.0,2.85,35,0.7571428571428571,True
2.0,0.025,4.2,2.85,35,0.7714285714285715,True
2.0,0.026,4.0,2.85,35,0.8,True
2.0,0.025,4.0,2.5,40,0.7714285714285715,True
2.0,0.025,4.0,2.7,40,0.8142857142857143,True
2.0,0.025,4.0,3.0,40,0.8,True
2.0,0.025,4.0,3.2,40,0.7857142857142857,True

2.0,0.025,4.0,2.85,40,0.15,0.8142857142857143,True
2.0,0.025,4.0,2.85,40,0.12,0.8,True
2.0,0.025,4.0,2.85,40,0.08,0.8285714285714286,True
2.0,0.025,4.0,2.85,40,0.05,0.8142857142857143,True
2.0,0.025,4.0,2.85,40,0.15,0.8142857142857143,True
2.0,0.025,4.0,2.85,40,0.15,0.8,True,True
2.0,0.025,4.0,2.85,40,0.08,0.8,True,True
2.0,0.025,4.0,2.85,40,0.08,0.7571428571428571,True,True
2.0,0.025,4.0,2.85,40,0.08,0.07142857142857142,True,True
2.0,0.025,4.0,2.85,40,0.08,0.5142857142857142,True,True
2.0,0.025,4.0,2.85,40,0.08,0.5,True,True
